id,name,price,description,url
292.971.90,"EKOLSUND","$249.00","EKOLSUND recliner has soft rounded shapes which are sized to fit in even small spaces. Adjustable in three positions – so choose whether you want to sit upright, lean back or lie back for a nap.",https://www.ikea.com/us/en/catalog/products/S29297190/
892.971.87,"EKOLSUND","$249.00","EKOLSUND recliner has soft rounded shapes which are sized to fit in even small spaces. Adjustable in three positions – so choose whether you want to sit upright, lean back or lie back for a nap.",https://www.ikea.com/us/en/catalog/products/S89297187/
902.714.93,"DRAGAN","$7.99","The natural bamboo wood creates a warm and calm feeling, turning any cold, sterile bathroom into a space where you want to stay. The boxes are light and easy to move around – to wherever you need them.",https://www.ikea.com/us/en/catalog/products/90271493/
003.966.47,"HEMNES","$79.00","Perfect in a small bathroom since the wall shelf is shallow.",https://www.ikea.com/us/en/catalog/products/00396647/
003.864.36,"HOPPVALS","$27.99","This energy-saving blind is inspired by bees. The honeycomb structure inside creates a layer of insulation which helps reduce heating costs. The cord is tucked inside safely out of reach of children.",https://www.ikea.com/us/en/catalog/products/00386436/
604.112.54,"FESTHOLMEN","$9.99","This cushion makes the balcony and terrace both more comfortable and more personal. It’s perfect for outdoor use – the fabric stays fresh for longer in the sun and it is also water repellent.",https://www.ikea.com/us/en/catalog/products/60411254/
204.278.17,"SPISIG","$49.99","We call it a play kitchen, but what it actually is – that’s up to little imaginations. Maybe it will be a restaurant, café, shop or puppet theatre. Or something completely different.",https://www.ikea.com/us/en/catalog/products/20427817/
204.563.91,"MATVRÅ","$6.99","Tasty recipes and practical kitchen knowhow for children aged 0 to 100. So get your apron on, let all hungry children loose in the kitchen and let pans simmer with the joy of cooking.",https://www.ikea.com/us/en/catalog/products/20456391/
104.114.21,"TRANARÖ","$19.99","Use the multi-purpose TRANARÖ as a stool, side table, bedside table – or put two together to make a small coffee table. Easy to move around and adds a touch of color anywhere – indoors and outdoors.",https://www.ikea.com/us/en/catalog/products/10411421/
204.114.25,"STACKHOLMEN","$24.99","This outdoor stool is made of hard, durable acacia wood and has soft, harmonious shapes with a comfortable braided seat. Easy to move around - perfect wherever you need an extra seat for a nice rest.",https://www.ikea.com/us/en/catalog/products/20411425/
004.273.66,"ODDLAUG","$29.99","Ear-relief for open spaces in the home, where there’s lots of activity. This panel absorbs annoying sounds from chitter-chatter, the clattering of pots and pans in the kitchen or the action picture on TV.",https://www.ikea.com/us/en/catalog/products/00427366/
891.926.42,"FÄRLÖV","$699.00","This is your best friend for movie nights and also the room’s center of attention. We tried to think of everything, from the spacious comfortable seat cushion to the rounded armrests and soft covers.",https://www.ikea.com/us/en/catalog/products/S89192642
092.895.01,"DELAKTIG","$645.00","With this combination you have it all: a nice compact sofa for smaller spaces with a side table to keep your cup of tea, book, and glasses close.",https://www.ikea.com/us/en/catalog/products/S09289501/
892.573.46,"LIDHULT","$2,899.00","A well-deserved nap in the daytime and nice relaxing with family and friends in the evening. LIDHULT sofa is designed for maximum comfort with high back and neck support. Embracing, inviting and generous.",https://www.ikea.com/us/en/catalog/products/S89257346/
992.700.69,"LANDSKRONA","$1,399.00","Warm and welcoming, neat and stylish. The supporting seat cushions, the cover’s soft finish and the tight fit gives this sofa a perfect balance between its comfort, functions and look.",https://www.ikea.com/us/en/catalog/products/S99270069/
892.702.77,"LANDSKRONA","$579.00","Warm and welcoming, neat and stylish. The supporting seat cushions, the cover’s soft finish and the tight fit gives this sofa a perfect balance between its comfort, functions and look.",https://www.ikea.com/us/en/catalog/products/S89270277/
